Test MSE,Train loss,Valid MSE,epoch,step
,,2.6327946186065674,0,24
,0.2673202455043793,,1,49
,,2.074434757232666,1,49
,,1.4138126373291016,2,74
,0.41609159111976624,,3,99
,,1.3901605606079102,3,99
,,1.065382480621338,4,124
,0.1996973752975464,,5,149
,,1.668745756149292,5,149
,,0.9460875391960144,6,174
,0.27501749992370605,,7,199
,,1.199499487876892,7,199
,,1.136763334274292,8,224
,0.19158871471881866,,9,249
,,1.0315481424331665,9,249
,,0.9054831266403198,10,274
,0.14302904903888702,,11,299
,,0.902407169342041,11,299
,,0.8477931022644043,12,324
,0.3024645745754242,,13,349
,,0.7275930643081665,13,349
,,0.6064527630805969,14,374
,0.22752384841442108,,15,399
,,0.6424083113670349,15,399
,,0.5483651161193848,16,424
,0.21637389063835144,,17,449
,,0.5618801712989807,17,449
,,0.6148517727851868,18,474
,0.0695955902338028,,19,499
,,0.5590240359306335,19,499
,,0.6380237936973572,20,524
,0.07792271673679352,,21,549
,,0.595609188079834,21,549
,,0.8047412037849426,22,574
,0.0965941846370697,,23,599
,,0.6245694756507874,23,599
,,0.6897433996200562,24,624
,0.32108256220817566,,25,649
,,0.7546172142028809,25,649
,,0.7862655520439148,26,674
,0.11018349975347519,,27,699
,,0.5399829745292664,27,699
,,0.493481308221817,28,724
,0.06835783272981644,,29,749
,,0.5110833048820496,29,749
,,0.5112136602401733,30,774
,0.043177515268325806,,31,799
,,0.5859094858169556,31,799
,,0.5065010190010071,32,824
,0.06021894887089729,,33,849
,,0.5170571804046631,33,849
,,0.42653340101242065,34,874
,0.21021540462970734,,35,899
,,0.45064643025398254,35,899
,,0.4399106204509735,36,924
,0.13289199769496918,,37,949
,,0.4684504270553589,37,949
,,0.48293113708496094,38,974
,0.15561574697494507,,39,999
,,0.43201953172683716,39,999
,,0.4559963345527649,40,1024
,0.09218111634254456,,41,1049
,,0.423968642950058,41,1049
,,0.46321430802345276,42,1074
,0.10455268621444702,,43,1099
,,0.4200107157230377,43,1099
,,0.5070906281471252,44,1124
,0.07091033458709717,,45,1149
,,0.43049320578575134,45,1149
,,0.44301560521125793,46,1174
,0.05550319328904152,,47,1199
,,0.413003146648407,47,1199
,,0.49281343817710876,48,1224
,0.05919429287314415,,49,1249
,,0.42825043201446533,49,1249
,,0.43050041794776917,50,1274
,0.04661191254854202,,51,1299
,,0.35818344354629517,51,1299
,,0.39861705899238586,52,1324
,0.13109639286994934,,53,1349
,,0.5018251538276672,53,1349
,,0.36820533871650696,54,1374
,0.2194066047668457,,55,1399
,,0.5219945311546326,55,1399
,,0.44961583614349365,56,1424
,0.06947045773267746,,57,1449
,,0.3855925500392914,57,1449
,,0.4677070081233978,58,1474
,0.04817761853337288,,59,1499
,,0.3956897258758545,59,1499
0.5496507883071899,,,60,1500
