Test MSE,Train loss,Valid MSE,epoch,step
,,2.1501240730285645,0,24
,0.3028191328048706,,1,49
,,1.5000921487808228,1,49
,,1.663292646408081,2,74
,0.3020070791244507,,3,99
,,1.1844817399978638,3,99
,,1.2809914350509644,4,124
,0.18045112490653992,,5,149
,,0.973889946937561,5,149
,,0.9676299691200256,6,174
,0.11062544584274292,,7,199
,,0.8897358775138855,7,199
,,0.7812439799308777,8,224
,0.08043382316827774,,9,249
,,0.7654455304145813,9,249
,,0.7491120100021362,10,274
,0.1921771764755249,,11,299
,,0.620465874671936,11,299
,,0.7152657508850098,12,324
,0.09210145473480225,,13,349
,,0.6934559941291809,13,349
,,0.6384873986244202,14,374
,0.11923757940530777,,15,399
,,0.5338677763938904,15,399
,,0.48867517709732056,16,424
,0.12283474206924438,,17,449
,,0.5361965894699097,17,449
,,0.6134462356567383,18,474
,0.08317631483078003,,19,499
,,0.6383588314056396,19,499
,,0.5598479509353638,20,524
,0.15730993449687958,,21,549
,,0.4835684299468994,21,549
,,0.4736879765987396,22,574
,0.07043614983558655,,23,599
,,0.46036046743392944,23,599
,,0.42896875739097595,24,624
,0.16928401589393616,,25,649
,,0.4188537895679474,25,649
,,0.523391842842102,26,674
,0.20172861218452454,,27,699
,,0.4271298944950104,27,699
,,0.4711238741874695,28,724
,0.0613248348236084,,29,749
,,0.5075889229774475,29,749
,,0.47440406680107117,30,774
,0.09071212261915207,,31,799
,,0.47723644971847534,31,799
,,0.47059738636016846,32,824
,0.161808580160141,,33,849
,,0.41991305351257324,33,849
,,0.4400195777416229,34,874
,0.259342223405838,,35,899
,,0.4483993351459503,35,899
,,0.37638580799102783,36,924
,0.23542539775371552,,37,949
,,0.4028206467628479,37,949
,,0.4240880608558655,38,974
,0.07499915361404419,,39,999
,,0.4660974144935608,39,999
,,0.4387616515159607,40,1024
,0.04228046536445618,,41,1049
,,0.3870121240615845,41,1049
,,0.4936884343624115,42,1074
,0.08219943195581436,,43,1099
,,0.4214856028556824,43,1099
,,0.40005412697792053,44,1124
,0.05718664452433586,,45,1149
,,0.4479512572288513,45,1149
,,0.4256044328212738,46,1174
,0.03766424581408501,,47,1199
,,0.4125343859195709,47,1199
,,0.44491106271743774,48,1224
,0.08168114721775055,,49,1249
,,0.5045260787010193,49,1249
,,0.4567437469959259,50,1274
,0.03734911233186722,,51,1299
,,0.4049972593784332,51,1299
,,0.45912104845046997,52,1324
,0.077057383954525,,53,1349
,,0.42666929960250854,53,1349
,,0.46703240275382996,54,1374
,0.0495510958135128,,55,1399
,,0.43579086661338806,55,1399
,,0.3926132023334503,56,1424
,0.05446705222129822,,57,1449
,,0.4507799446582794,57,1449
,,0.39384156465530396,58,1474
,0.13581733405590057,,59,1499
,,0.4240097999572754,59,1499
0.47308290004730225,,,60,1500
